Sr. no,Nfin- Pmos,W (Width)pmos,L (Length)pmos,Hfin,(W/L Ratio)pmos,Nfin- Nmos,W (Width)nmos,L (Length)nmos,(W/L Ratio)nmos,Switching Threshold Voltage (VTC),Drain Current (Id),Gate Capacitance (Cg),Power Consumption (P),tplh,tphl,Gain (Av),Gain Peak value At V,Vil,Voh,Vih,Vol,NMH,NML,Transconductance (gm),Frequency (f),Output Resistance (Ro)
1,14,8.96E-07,7.00E-09,3.20E-08,1.28E+02,14,8.96E-07,7.00E-09,1.28E+02,3.45E-01,,,,3.46E-13,2.12E-13,6.42,0.35,2.46E-01,6.24E-01,4.28E-01,7.74E-02,1.96E-01,1.69E-01,,,
2,14,8.96E-07,7.00E-09,3.20E-08,1.28E+02,10,6.40E-07,7.00E-09,91.42857143,3.68E-01,,,,2.14E-13,3.50E-13,6.45262,0.374034,2.81E-01,6.18E-01,4.61E-01,7.29E-02,1.57E-01,2.08E-01,,,
3,5,3.20E-07,7.00E-09,3.20E-08,4.57E+01,1,6.40E-08,7.00E-09,9.14E+00,4.47E-01,,,,-1.87E-13,2.60E-12,6.951897,4.54,3.92E-01,6.28E-01,5.64E-01,5.12E-02,6.38E-02,3.41E-01,,,
4,14,8.96E-07,7.00E-09,3.20E-08,1.28E+02,8,5.12E-07,7.00E-09,73.14285714,3.83E-01,,,,1.43E-13,4.77E-13,6.503827,3.89,3.03E-01,6.16E-01,4.82E-01,6.92E-02,1.34E-01,2.34E-01,,,
5,14,8.96E-07,7.00E-09,3.20E-08,1.28E+02,13,8.32E-07,7.00E-09,118.8571429,3.50E-01,,,,3.14E-13,2.38E-13,6.42729,3.55,2.54E-01,6.22E-01,4.35E-01,7.69E-02,1.87E-01,1.77E-01,,,
6,13,8.32E-07,7.00E-09,3.20E-08,1.19E+02,14,8.96E-07,7.00E-09,128,3.40E-01,,,,3.80E-13,1.87E-13,6.432394,3.45,2.39E-01,6.25E-01,4.21E-01,7.77E-02,2.04E-01,1.61E-01,,,
7,7,4.48E-07,7.00E-09,3.20E-08,6.40E+01,3,1.92E-07,7.00E-09,27.42857143,,,,,,,,,,,,,,,,,
8,12,7.68E-07,7.00E-09,3.20E-08,1.10E+02,10,6.40E-07,7.00E-09,91.42857143,,,,,,,,,,,,,,,,,
9,4,2.56E-07,7.00E-09,3.20E-08,3.66E+01,2,1.28E-07,7.00E-09,18.28571429,,,,,,,,,,,,,,,,,
10,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
11,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
12,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
13,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
14,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
15,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
16,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
17,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
18,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
19,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
20,0,0.00E+00,7.00E-09,3.20E-08,0.00E+00,0.00E+00,0.00E+00,7.00E-09,0,,,,,,,,,,,,,,,,,
