Sr. no,WPfin,WNfin,W/L Pmos,L (Length)nmos/pmos,W/L Nmos,Nmos/Pmos,Switching Threshold Voltage (VTC),Drain Current (Id),Gate Capacitance (Cg),Power Dissipation (P) for 0.1fF Capacitor Load,tplh,tphl,Propagation Delay,Gain (Av),Gain Peak value At V,Vil,Voh,Vih,Vol,NMH,NML,Transconductance (gm),Frequency (f),Output Resistance (Ro)
1,14,14,2,7,2,1.00E+00,3.45E-01,2.26E-04,,-3.41E-05,3.46E-13,2.12E-13,2.79E-13,6.42,0.35,2.46E-01,6.24E-01,4.28E-01,7.74E-02,1.96E-01,1.69E-01,1.23E-03,1.79E+12,-6.42895
2,14,13,2,7,1.857142857,9.29E-01,3.50E-01,2.17E-04,,-3.32E-05,3.14E-13,2.38E-13,2.76E-13,6.42729,3.55,2.54E-01,6.22E-01,4.35E-01,7.69E-02,1.87E-01,1.77E-01,1.20E-03,1.81E+12,-6.42773
3,16,14,2.285714286,7,2,8.75E-01,3.54E-01,2.40E-04,,-3.61E-05,2.88E-13,2.61E-13,2.74E-13,6.428653,3.60,2.60E-01,6.21E-01,4.41E-01,7.61E-02,1.80E-01,1.84E-01,1.35E-03,1.82E+12,-6.43244
4,20,8,2.857142857,7,1.142857143,4.00E-01,4.06E-01,1.84E-04,,-3.36E-05,3.58E-14,8.11E-13,4.23E-13,6.630162,0.41,3.36E-01,6.18E-01,6.18E-01,6.30E-02,1.05E-01,2.73E-01,1.23E-03,1.18E+12,-6.63073
5,22,6,3.142857143,7,0.857142857,2.73E-01,4.30E-01,1.54E-04,,-3.30E-05,-8.15E-14,1.61E-12,7.63E-13,6.801398,0.44,3.68E-01,6.23E-01,5.43E-01,5.59E-02,7.98E-02,3.12E-01,1.11E-03,6.55E+11,-6.80153
6,24,4,3.428571429,7,0.571428571,1.67E-01,4.57E-01,1.16E-04,,-3.20E-05,-2.54E-13,3.03E-12,1.39E-12,7.04144,0.46,4.05E-01,6.31E-01,5.75E-01,4.89E-02,5.61E-02,3.56E-01,9.17E-04,3.60E+11,-7.04182
7,26,16,3.714285714,7,2.285714286,6.15E-01,3.78E-01,3.17E-04,,-4.75E-05,1.66E-13,4.30E-13,2.98E-13,6.484274,0.38,2.96E-01,6.16E-01,4.75E-01,7.06E-02,1.41E-01,2.25E-01,1.93E-03,1.68E+12,-6.48418
8,28,18,4,7,2.571428571,6.43E-01,3.75E-01,3.50E-04,,-5.14E-05,1.80E-13,4.05E-13,2.92E-13,6.473857,0.38,2.91E-01,6.17E-01,4.71E-01,7.13E-02,1.46E-01,2.20E-01,2.11E-03,1.71E+12,-6.47415
9,12,20,1.714285714,7,2.857142857,1.67E+00,3.10E-01,2.49E-04,,-3.75E-05,6.57E-13,5.64E-14,3.56E-13,6.542246,0.31,1.96E-01,6.37E-01,3.80E-01,7.75E-02,2.57E-01,1.18E-01,1.21E-03,1.40E+12,-6.54341
10,10,22,1.428571429,7,3.142857143,2.20E+00,2.91E-01,2.33E-04,,-3.71E-05,9.54E-13,-2.10E-14,4.67E-13,6.686979,0.29,1.73E-01,6.44E-01,3.55E-01,7.53E-02,2.89E-01,9.76E-02,1.07E-03,1.07E+12,-6.68644
11,8,24,1.142857143,7,3.428571429,3.00E+00,2.71E-01,2.09E-04,,-3.66E-05,1.52E-12,-1.11E-13,7.06E-13,6.910096,0.27,1.51E-01,6.50E-01,3.28E-01,7.22E-02,3.22E-01,7.88E-02,8.97E-04,7.08E+11,-6.91091
12,6,12,0.857142857,7,1.714285714,2.00E+00,2.97E-01,1.35E-04,,-2.40E-05,8.36E-13,5.64E-15,4.21E-13,6.62993,0.30,1.81E-01,6.41E-01,3.63E-01,7.67E-02,2.78E-01,1.04E-01,6.29E-04,1.19E+12,-6.63091
13,13,14,1.857142857,7,2,1.08E+00,3.40E-01,2.18E-04,,-3.31E-05,3.80E-13,1.87E-13,2.83E-13,6.432394,0.35,2.39E-01,6.25E-01,4.21E-01,7.77E-02,2.04E-01,1.61E-01,1.17E-03,1.77E+12,-6.43333
